name,Base Note,Department,Heart/Middle Note,link,Scents/Notes,Size,Top Note,price,concentration
AMOUAGE Library Collection Opus VIII,"westindianbay,benzoin",Unisex,"olibanum,saffron,ginger,vetiver,guaiacwood",https://www.noon.com/uae-en/library-collection-opus-viii-edp-100ml/N14790149A/p?o=c39409809e8e536a,Fruity,100ml,"jasmine,orangeblossom,ylangylang",603.0,EDP
AMOUAGE Library Collection Opus Xi,"styrax,leatherwood",Unisex,agarwood,https://www.noon.com/uae-en/library-collection-opus-xi-edp-100ml/N39769415A/p?o=d4aa826c0d26ce6d,,100ml,marjoram,629.95,EDP
AMOUAGE Library Collestion Opus X,"metallicnotes,laotianoud,ylang,ylang,ambrarome",Unisex,"geranium,leather,varnish",https://www.noon.com/uae-en/library-collestion-opus-x-edp-100ml/N11756267A/p?o=c31c8c75759516cf,Floral,100ml,"mayrose,redrose,rose",603.05,EDP
AMOUAGE Lilac Love,"sandalwood,vanilla,patchouli",Women,"orris,cocoabean,tonkabean",https://www.noon.com/uae-en/lilac-love-edp-100ml/N13789883A/p?o=ae76346878187dec,Jasmine,100ml,"jasmine,rose,gardenia,peony,heliotrope",638.65,EDP
AMOUAGE Liprary Pous I,"civet,ambergris,vetiver",Unisex,"leather,beeswax,guaiacwood",https://www.noon.com/uae-en/liprary-pous-i-edp-100ml/N11074646A/p?o=d672d79f3b1f0ffe,,100ml,"jasmine,camelia,blackpepper",531.45,EDP
AMOUAGE Love Tuberose,"cedarwood,sandalwood",Women,"chantillycream,vanilla",https://www.noon.com/uae-en/love-tuberose-edp-100ml/N36969301A/p?o=b7f920a62c09aeeb,Jasmine,100ml,"tuberose,gardenia,jasmine",750.0,EDP
AMOUAGE Lyric,"oakmoss,sandalwood,vanilla,tonka,musk,patchouli,frankincense",Women,"rose,angelica,jasmine,ylangylang,geranium,orris",https://www.noon.com/uae-en/lyric-edp-100ml/N11201611A/p?o=c2fa4d0b9415a39d,,100ml,"bergamot,spicycardamom,cinnamon,ginger",513.5,EDP
AMOUAGE Lyric,"pinetree,sandalwood,incense,vanilla,musk",Men,"rose,angelica,orangeblossom,galbanum,nutmeg,ginger,saffron",https://www.noon.com/uae-en/lyric-edp-100ml/N37552954A/p?o=d1dea1cc49469f6a,Floral,100ml,"bergamot,lime",540.9,EDP
AMOUAGE Memoir,"sandalwood,vetiver,guaiacwood,amber,vanilla,musk,oakmoss,leather,tobacco",Men,"rose,frankincense,lavender",https://www.noon.com/uae-en/memoir-edp-100ml/N25837893A/p?o=cb1422a8e81af0ba,Floral,100ml,,590.0,EDP
AMOUAGE Memoir,"frenchlabdanum,oakmoss,styrax,leathercastoreum",Women,"incense,pepper,woodsy,jasmine",https://www.noon.com/uae-en/memoir-edp-100ml/N11803434A/p?o=d37705daee4d74bf,Fruity,100ml,"cardamom,mandarinorange,pinkpepper,wormwood",484.9,EDP
AMOUAGE Myths,"labdanum,ash,leather",Women,"rum,rose,vetiver,elemi",https://www.noon.com/uae-en/myths-edp-100ml/N11756269A/p?o=a5334d02aa00b2ab,Fresh,100ml,,493.1,EDP
AMOUAGE Opus I Library Collection,"musk,patchouli,virginiacedar,amber,incense",Unisex,"jasmine,cardamom,cinnamon,rose",https://www.noon.com/uae-en/opus-i-library-collection-edp-100ml/N11803442A/p?o=a36430accb8d7cfc,Woody,100ml,"lavender,wormwood,pinkpepper,pepper",519.65,EDP
AMOUAGE Opus II,"cedar,amber,musk,incense,patchouli",Unisex,"jasmine,rose,cinnamon,cardamom",https://www.noon.com/uae-en/opus-ii-edp-100ml/N37566974A/p?o=e1fbdf4163642dda,Oriental,100ml,,545.65,EDP
AMOUAGE Opus II Library Collection,"amber,musk,patchouli,frankincense",Women,"rose,jasmine,cardamon",https://www.noon.com/uae-en/opus-ii-library-collection-edp-100ml/N25837894A/p?o=a2114085b82664fe,Fresh,100ml,,509.0,EDP
